Date,Open,High,Low,Close,Adj Close,Volume,Change
2020-04-17,119.300003,120.389999,117.919998,120.120003,113.805405,4966000,0.0068734281590922775
2020-04-20,119.150002,122.860001,118.139999,120.410004,114.080162,8181700,0.010574922189258545
2020-04-21,114.000000,117.150002,112.059998,116.760002,110.622040,14349000,0.024210543859649124
2020-04-22,119.870003,120.330002,117.550003,119.309998,113.037979,7086500,-0.00467176929994741
2020-04-23,119.570000,123.029999,119.120003,121.349998,114.970741,6881600,0.01488666053357871
2020-04-24,122.410004,125.000000,120.760002,124.720001,118.163582,4985900,0.018870982146197753
2020-04-27,125.559998,126.989998,125.470001,125.919998,119.300507,4923800,0.002867155190620612
2020-04-28,128.029999,128.199997,125.379997,126.269997,119.632103,4778100,-0.013746793827593485
2020-04-29,128.880005,129.309998,127.529999,128.690002,121.924889,5257600,-0.0014742628230036037
2020-04-30,126.519997,127.269997,125.220001,125.559998,118.959419,6635800,-0.007587725440746022
2020-05-01,123.190002,123.470001,121.389999,121.870003,115.463409,4925500,-0.010715147159426217
2020-05-04,120.820000,121.970001,119.389999,121.680000,115.283394,4017900,0.007118026816752307
2020-05-05,123.389999,124.320000,122.470001,122.580002,116.136078,3899400,-0.00656452716236759
2020-05-06,123.239998,124.050003,122.410004,123.169998,116.695061,3864600,-0.0005679974126581305
2020-05-07,122.980003,123.260002,120.849998,121.230003,116.397430,4412600,-0.014229955743292673
2020-05-08,122.669998,123.230003,121.059998,122.989998,118.087265,5002500,0.0026086248081620836
2020-05-11,121.809998,123.449997,120.669998,122.589996,117.703201,3535300,0.006403398840873524
2020-05-12,123.010002,124.320000,120.260002,120.260002,115.466087,4784500,-0.022355905660419385
2020-05-13,119.949997,119.989998,114.849998,115.730003,111.116676,5882800,-0.03518127641136998
2020-05-14,114.570000,117.089996,111.809998,116.949997,112.288033,5259400,0.02077330016583751
2020-05-15,115.930000,117.389999,115.250000,116.980003,112.316841,4786300,0.009057215561114376
2020-05-18,119.879997,122.360001,119.750000,121.559998,116.714272,4205700,0.014014022706390208
2020-05-19,121.190002,122.169998,120.139999,120.290001,115.494888,3241100,-0.007426363438792608
2020-05-20,120.930000,122.470001,120.599998,121.379997,116.541435,3840700,0.00372113619449265
2020-05-21,120.989998,121.720001,118.970001,119.120003,114.371536,4000900,-0.015455781725031544
2020-05-22,119.370003,119.470001,117.589996,118.389999,113.670631,4180800,-0.00820980125132437
2020-05-26,121.300003,122.620003,121.010002,121.760002,116.906296,5469300,0.0037922422804886184
2020-05-27,123.940002,125.830002,123.470001,125.540001,120.535614,5727500,0.012909464048580512
2020-05-28,126.870003,126.970001,124.220001,124.529999,119.565872,3915300,-0.018444107706058723
2020-05-29,123.669998,125.129997,122.239998,124.900002,119.921135,7929900,0.00994585606769391
2020-06-01,124.639999,125.750000,124.029999,124.889999,119.911522,2871700,0.0020057766528062955
2020-06-02,125.669998,126.000000,124.660004,126.000000,120.977280,2978100,0.002625940998264305
2020-06-03,127.150002,129.600006,127.000000,129.050003,123.905701,3917700,0.01494298836110127
2020-06-04,127.779999,128.949997,127.019997,128.889999,123.752075,3864800,0.00868680551484419
2020-06-05,133.889999,134.229996,131.750000,132.059998,126.795700,5892700,-0.013667943936574245
2020-06-08,132.270004,135.880005,132.270004,135.750000,130.338608,5370500,0.026309789784235583
2020-06-09,133.520004,133.600006,131.020004,131.869995,126.613281,5393600,-0.012357766256507986
2020-06-10,132.149994,132.229996,129.800003,129.869995,124.693008,4734800,-0.017253114669078258
2020-06-11,126.029999,126.099998,117.839996,118.010002,113.305786,11763600,-0.06363561900845531
