Date,Open,High,Low,Close,Adj Close,Volume,Change
2020-06-10,191.130005,198.520004,191.009995,196.839996,195.402527,43872300,0.02987490634973824
2020-06-11,193.130005,195.759995,186.070007,186.270004,184.909714,52854700,-0.03552012024232076
2020-06-12,190.539993,191.720001,185.179993,187.740005,186.368973,43373600,-0.01469501471011397
2020-06-15,184.580002,190.820007,184.009995,188.940002,187.560226,32770200,0.02362119380624985
2020-06-16,192.889999,195.580002,191.460007,193.570007,192.156418,42556700,0.0035253668076384564
2020-06-17,195.029999,196.320007,193.690002,194.240005,192.821518,25687800,-0.004050628129265422
2020-06-18,194.000000,196.490005,194.000000,196.320007,194.886337,23061600,0.011958798969072185
2020-06-19,198.589996,199.289993,194.369995,195.149994,193.724854,44441100,-0.0173221313726197
2020-06-22,195.789993,200.759995,195.229996,200.570007,199.105301,32818900,0.02441398524387298
2020-06-23,202.089996,203.949997,201.429993,201.910004,200.435501,30917400,-0.0008906526971281993
2020-06-24,201.600006,203.250000,196.559998,197.839996,196.395218,36740600,-0.01865084269888362
2020-06-25,197.800003,200.610001,195.470001,200.339996,198.876968,27803900,0.012841218207666103
2020-06-26,199.729996,199.889999,194.880005,196.330002,194.896240,54675800,-0.017022951324747397
2020-06-29,195.779999,198.529999,193.550003,198.440002,196.990829,26701600,0.013586694318044148
2020-06-30,197.880005,204.399994,197.740005,203.509995,202.023819,34310300,0.028451535565708078
2020-07-01,203.139999,206.350006,201.770004,204.699997,203.205124,32061200,0.007679423095793199
2020-07-02,205.679993,208.020004,205.000000,206.259995,204.753738,29315800,0.002819924249997458
2020-07-06,208.830002,211.130005,208.089996,210.699997,209.161301,31897600,0.00895462808069115
2020-07-07,210.449997,214.669998,207.990005,208.250000,206.729202,33600700,-0.01045377539254608
2020-07-08,210.070007,213.259995,208.690002,212.830002,211.275757,33600000,0.013138453410914599
2020-07-09,216.330002,216.380005,211.470001,214.320007,212.754883,33121700,-0.009291337222841626
2020-07-10,213.619995,214.080002,211.080002,213.669998,212.109619,26177600,0.00023407453033600061
2020-07-13,214.479996,215.800003,206.500000,207.070007,205.557816,38135600,-0.03454862522470392
2020-07-14,206.130005,208.850006,202.029999,208.350006,206.828476,37591800,0.010769907078787468
2020-07-15,209.559998,211.330002,205.029999,208.039993,206.520721,32179400,-0.007253316541833511
2020-07-16,205.399994,205.699997,202.309998,203.919998,202.430817,29940700,-0.007205433511356382
2020-07-17,204.470001,205.039993,201.389999,202.880005,201.398407,31635300,-0.007776182287004464
2020-07-20,205.000000,212.300003,203.009995,211.600006,210.054749,36884800,0.03219515121951223
2020-07-21,213.660004,213.940002,208.029999,208.750000,207.225555,37990400,-0.0229804544981661
2020-07-22,209.199997,212.300003,208.389999,211.750000,210.203629,49605700,0.012189307058164078
2020-07-23,207.190002,210.919998,202.149994,202.539993,201.060898,67457000,-0.022443211328314883
2020-07-24,200.419998,202.860001,197.509995,201.300003,199.829971,39827000,0.004390804354763097
2020-07-27,201.470001,203.970001,200.860001,203.850006,202.361343,30160900,0.011813197936103704
2020-07-28,203.610001,204.699997,201.740005,202.020004,200.544693,23251400,-0.007809031934536511
2020-07-29,202.500000,204.649994,202.009995,204.059998,202.569794,19632600,0.00770369382716053
2020-07-30,201.000000,204.460007,199.570007,203.899994,202.410965,25079600,0.014427830845771107
2020-07-31,204.399994,205.100006,199.009995,205.009995,203.512848,51044000,0.002984349402671759
2020-08-03,211.520004,217.639999,210.440002,216.539993,214.958664,78983000,0.023732927879483254
2020-08-04,214.169998,214.770004,210.309998,213.289993,211.732391,49280100,-0.004108908849128266
2020-08-05,214.899994,215.000000,211.570007,212.940002,211.384949,28806400,-0.009120484200664985
